city,country,year,jams_delay,traffic_index_live,jams_length_in_kms,jams_count,city_gdp_capita,unemployment_pct
belo-horizonte,BRA,2024,263.04787931788366,19.428946217752515,44.03812855268907,68.80542195015303,11124,95
bogota,COL,2024,1141.5523642732041,37.614273204903675,140.89356392294243,230.56654991243434,11442,10
brasilia,BRA,2024,101.57632617273147,11.258220078912757,18.337132836475213,27.28014028934678,16251,78
buenos-aires,ARG,2024,571.0895933537382,17.75601224311325,100.28784433756014,137.35986007870574,18117,72
curitiba,BRA,2024,183.46927447552432,14.954545454545455,30.05004371,46.89816433566433,12381,82
fortaleza,BRA,2024,82.81318101933213,15.896748681898067,11.205843585237279,24.64499121265378,8512,118
lima,PER,2024,1052.2927888792358,31.031277150304085,110.31476976542145,213.4535186794092,13472,65
mexico-city,MEX,2024,2833.0578924355077,34.21818976825536,389.2392654132046,594.9693922,21111,32
montevideo,URY,2024,50.20109218,17.01485364788117,6.369200524246402,14.160332022717343,26176,84
porto-alegre,BRA,2024,139.3828296101621,17.68725361366623,20.167849321068786,39.813403416557165,11801,87
recife,BRA,2024,112.75555069930087,21.555944055944057,16.88548951,33.22115384615385,9189,112
rio-de-janeiro,BRA,2024,466.06470588235203,25.16296296296296,85.01511982570794,123.89193899782136,13349,92
salvador,BRA,2024,86.40000000000002,20.928727590730215,13.17044162658504,25.23524267599475,8899,124
santiago,CHL,2024,629.8653176675361,20.155352480417754,93.48912097476068,153.0953002610966,2277,78
sao-paulo,BRA,2024,1729.189270199824,26.877932232841008,238.41989574283247,431.4704604691573,14703,85
